method,dataset,accuracy
baseline,citeseer,0.6027624309392265
baseline,citeseer,0.6370165745856353
baseline,citeseer,0.6276243093922652
baseline,citeseer,0.6093922651933702
baseline,citeseer,0.6453038674033149
baseline,citeseer,0.6044198895027625
baseline,citeseer,0.638121546961326
baseline,citeseer,0.594475138121547
baseline,citeseer,0.6331491712707182
baseline,citeseer,0.6270718232044199
baseline,citeseer,0.605524861878453
baseline,pubmed,0.7009250268308888
baseline,pubmed,0.6756273317319977
baseline,pubmed,0.7113507435989166
baseline,pubmed,0.7059845658506669
baseline,pubmed,0.6985230234578628
baseline,pubmed,0.7047580109367814
baseline,pubmed,0.708182143404712
baseline,pubmed,0.7154903664332806
baseline,pubmed,0.6848264935861399
baseline,pubmed,0.7371595032452599
baseline,pubmed,0.6818112127561711
baseline,pubmed,0.7030714979301886
baseline,pubmed,0.6960699136300915
baseline,pubmed,0.6747074155465835
baseline,pubmed,0.7017938365615577
baseline,pubmed,0.631829100015332
baseline,pubmed,0.6626973986814535
baseline,pubmed,0.6592221597587775
baseline,pubmed,0.6862574743190065
baseline,pubmed,0.72192977973118
baseline,pubmed,0.6971942556344867
baseline,pubmed,0.7161547503449686
baseline,pubmed,0.7150815147953187
baseline,pubmed,0.6784381867429856
baseline,pubmed,0.6738386058159146
baseline,pubmed,0.7077221853120049
baseline,pubmed,0.7103286145040119
baseline,pubmed,0.6868196453212041
baseline,pubmed,0.6935145908928297
baseline,pubmed,0.7033270302039147
baseline,pubmed,0.6589666274850514
baseline,pubmed,0.6792558900189094
baseline,pubmed,0.6823222773036235
baseline,pubmed,0.6561046660193183
baseline,pubmed,0.6534982368273113
baseline,pubmed,0.7081310369499668
baseline,pubmed,0.7222875249143967
baseline,pubmed,0.7032759237491695
baseline,pubmed,0.7158481116164972
baseline,pubmed,0.6491541881739664
baseline,pubmed,0.6677569377012317
baseline,pubmed,0.7182501149895232
baseline,pubmed,0.6887105841467778
baseline,pubmed,0.6917258649767466
baseline,pubmed,0.6816067869371901
baseline,pubmed,0.727142638115194
baseline,pubmed,0.7280625543006082
baseline,pubmed,0.7102264015945214
baseline,pubmed,0.6792047835641641
baseline,pubmed,0.6837021515817447
baseline,pubmed,0.6441968620636787
baseline,pubmed,0.7128839372412735
baseline,pubmed,0.6919302907957275
baseline,pubmed,0.7085909950426739
baseline,pubmed,0.6804313384780498
baseline,pubmed,0.713650534062452
baseline,pubmed,0.6608064598558798
baseline,pubmed,0.6919302907957275
baseline,pubmed,0.715592579342771
baseline,pubmed,0.7139060663361783
baseline,pubmed,0.6847753871313947
baseline,pubmed,0.7069044820360811
baseline,pubmed,0.6927991005263965
baseline,pubmed,0.6645883375070272
baseline,pubmed,0.7037358818418766
baseline,pubmed,0.6949966780804415
baseline,pubmed,0.6869218582306945
baseline,pubmed,0.6833444063985281
baseline,pubmed,0.6903459906986252
baseline,pubmed,0.6945367199877345
baseline,pubmed,0.7109929984156999
baseline,pubmed,0.713190575969745
baseline,pubmed,0.6882506260540706
baseline,pubmed,0.7185567537179945
baseline,pubmed,0.6750140542750549
baseline,pubmed,0.6934634844380845
baseline,pubmed,0.714928195431083
baseline,pubmed,0.7127306178770378
baseline,pubmed,0.6809935094802474
baseline,pubmed,0.7065467368528645
baseline,pubmed,0.6195124444217305
baseline,pubmed,0.6917769714314917
baseline,pubmed,0.6886083712372872
baseline,pubmed,0.6769560995553738
baseline,pubmed,0.6906015229723514
baseline,pubmed,0.709715337047069
baseline,pubmed,0.7150304083405734
baseline,pubmed,0.6929013134358869
baseline,pubmed,0.7284202994838248
baseline,pubmed,0.7039403076608576
baseline,pubmed,0.7330198804108959
baseline,pubmed,0.7183012214442684
baseline,pubmed,0.6764961414626668
baseline,pubmed,0.6740941380896407
baseline,pubmed,0.661726376041294
baseline,pubmed,0.6970920427249961
baseline,pubmed,0.6432769458782645
baseline,pubmed,0.6631573567741605
baseline,pubmed,0.6713343895333981
baseline,pubmed,0.6888639035110135
baseline,cora_full,0.4055233504852472
baseline,cora_full,0.39536246987559437
baseline,cora_full,0.3947111313749756
baseline,cora_full,0.4017455871816583
baseline,cora_full,0.4079984367875985
baseline,cora_full,0.4175079788966326
baseline,cora_full,0.4037647365335765
baseline,cora_full,0.4012245163811633
baseline,cora_full,0.4130788770924249
baseline,cora_full,0.4152282941444669
baseline,cora_full,0.40669575978636097
baseline,cora_full,0.418875789747932
baseline,cora_full,0.3980980915781932
baseline,cora_full,0.4113853969908161
baseline,cora_full,0.4171823096463232
baseline,cora_full,0.4057838858854947
baseline,cora_full,0.400312642480297
baseline,cora_full,0.42076467139972645
baseline,cora_full,0.3971862176773269
baseline,cora_full,0.4089103106884648
baseline,cora_full,0.4099524522894548
baseline,cora_full,0.41125512929069236
baseline,cora_full,0.4143164202436006
baseline,cora_full,0.41177620009118737
baseline,cora_full,0.42069953754966455
baseline,cora_full,0.4192014589982414
baseline,cora_full,0.4152282941444669
baseline,cora_full,0.4085846414381554
baseline,cora_full,0.4007034455806683
baseline,cora_full,0.3958184068260275
baseline,cora_full,0.3944505959747281
baseline,cora_full,0.39529733602553246
baseline,cora_full,0.4023969256822771
baseline,cora_full,0.4043509411841334
baseline,cora_full,0.41881065589787014
baseline,cora_full,0.41392561714322934
baseline,cora_full,0.4029179964827721
baseline,cora_full,0.4203087344492933
baseline,cora_full,0.4096919168892073
baseline,cora_full,0.4074773659871035
baseline,cora_full,0.41705204194619944
baseline,cora_full,0.41099459389044485
baseline,cora_full,0.4075424998371654
baseline,cora_full,0.411450530840878
baseline,cora_full,0.4031133980329577
baseline,cora_full,0.4009639809809158
baseline,cora_full,0.42219761610108775
baseline,cora_full,0.4145769556438481
baseline,cora_full,0.40155018563147266
baseline,cora_full,0.4053930827851234
baseline,cora_full,0.4004429101804208
baseline,cora_full,0.40246205953233893
baseline,cora_full,0.40910571223865044
baseline,cora_full,0.41763824659675636
baseline,cora_full,0.3985540285286263
baseline,cora_full,0.40715169673679413
baseline,cora_full,0.422067348400964
baseline,cora_full,0.4165961049957663
baseline,cora_full,0.4036996026835146
baseline,cora_full,0.40669575978636097
baseline,cora_full,0.40734709828697974
baseline,cora_full,0.4118413339412493
baseline,cora_full,0.39940076857943074
baseline,cora_full,0.4163355695955188
baseline,cora_full,0.41412101869341494
baseline,cora_full,0.41386048329316744
baseline,cora_full,0.41386048329316744
baseline,cora_full,0.40741223213704164
baseline,cora_full,0.41053865694001174
baseline,cora_full,0.4028528626327102
baseline,cora_full,0.41959226209861267
baseline,cora_full,0.4061095551358041
baseline,cora_full,0.4182895850973751
baseline,cora_full,0.4165309711457044
baseline,cora_full,0.4070214290366704
baseline,cora_full,0.41561909724483814
baseline,cora_full,0.4086497752882173
baseline,cora_full,0.41978766364879827
baseline,cora_full,0.4119064677913111
baseline,cora_full,0.39529733602553246
baseline,cora_full,0.4128183416921774
baseline,cora_full,0.38995636032045855
baseline,cora_full,0.4057838858854947
baseline,cora_full,0.4058490197355566
baseline,cora_full,0.4037647365335765
baseline,cora_full,0.39653487917670815
baseline,cora_full,0.40415553963394774
baseline,cora_full,0.40708656288673223
baseline,cora_full,0.40324366573308146
baseline,cora_full,0.410408389239888
baseline,cora_full,0.41268807399205365
baseline,cora_full,0.39660001302677
baseline,cora_full,0.40617468898586595
baseline,cora_full,0.41978766364879827
baseline,cora_full,0.4154888295447144
baseline,cora_full,0.40415553963394774
baseline,cora_full,0.4102129876897023
baseline,cora_full,0.4040904057838859
baseline,cora_full,0.4053930827851234
baseline,cora_full,0.41099459389044485
baseline,texas,0.7372881355932204
baseline,texas,0.847457627118644
baseline,texas,0.7711864406779662
baseline,texas,0.6016949152542372
baseline,texas,0.711864406779661
baseline,texas,0.7627118644067796
baseline,texas,0.7966101694915254
baseline,texas,0.635593220338983
baseline,texas,0.8898305084745762
baseline,texas,0.7457627118644068
baseline,texas,0.7627118644067796
baseline,texas,0.7457627118644068
baseline,texas,0.8135593220338984
baseline,texas,0.788135593220339
baseline,texas,0.6694915254237288
baseline,texas,0.7457627118644068
baseline,texas,0.8389830508474576
baseline,texas,0.9067796610169492
baseline,texas,0.5423728813559322
baseline,texas,0.788135593220339
baseline,texas,0.7627118644067796
baseline,texas,0.7627118644067796
baseline,texas,0.711864406779661
baseline,texas,0.788135593220339
baseline,texas,0.8305084745762712
baseline,texas,0.847457627118644
baseline,texas,0.7033898305084746
baseline,texas,0.6101694915254238
baseline,texas,0.7966101694915254
baseline,texas,0.6949152542372882
baseline,texas,0.847457627118644
baseline,texas,0.7627118644067796
baseline,texas,0.788135593220339
baseline,texas,0.7372881355932204
baseline,texas,0.788135593220339
baseline,texas,0.8050847457627118
baseline,texas,0.8050847457627118
baseline,texas,0.7711864406779662
baseline,texas,0.8305084745762712
baseline,texas,0.652542372881356
baseline,texas,0.8389830508474576
baseline,texas,0.7796610169491526
baseline,texas,0.7288135593220338
baseline,texas,0.7288135593220338
baseline,texas,0.847457627118644
baseline,texas,0.711864406779661
baseline,texas,0.8135593220338984
baseline,texas,0.7966101694915254
baseline,texas,0.8135593220338984
baseline,texas,0.7542372881355932
baseline,texas,0.8728813559322034
baseline,texas,0.8050847457627118
baseline,texas,0.7457627118644068
baseline,texas,0.7288135593220338
baseline,texas,0.7966101694915254
baseline,texas,0.7542372881355932
baseline,texas,0.8050847457627118
baseline,texas,0.7796610169491526
baseline,texas,0.635593220338983
baseline,texas,0.8559322033898306
baseline,texas,0.6864406779661016
baseline,texas,0.7457627118644068
baseline,texas,0.7288135593220338
baseline,texas,0.7796610169491526
baseline,texas,0.6694915254237288
baseline,texas,0.7457627118644068
baseline,texas,0.7203389830508474
baseline,texas,0.8389830508474576
baseline,texas,0.7372881355932204
baseline,texas,0.7457627118644068
baseline,texas,0.7033898305084746
baseline,texas,0.7033898305084746
baseline,texas,0.6864406779661016
baseline,texas,0.7542372881355932
baseline,texas,0.6949152542372882
baseline,texas,0.711864406779661
baseline,texas,0.7966101694915254
baseline,texas,0.8898305084745762
baseline,texas,0.7966101694915254
baseline,texas,0.8389830508474576
baseline,texas,0.8983050847457628
baseline,texas,0.788135593220339
baseline,texas,0.7288135593220338
baseline,texas,0.7966101694915254
baseline,texas,0.8220338983050848
baseline,texas,0.652542372881356
baseline,texas,0.7542372881355932
baseline,texas,0.6610169491525424
baseline,texas,0.788135593220339
baseline,texas,0.8050847457627118
baseline,texas,0.8220338983050848
baseline,texas,0.8135593220338984
baseline,texas,0.788135593220339
baseline,texas,0.6949152542372882
baseline,texas,0.6949152542372882
baseline,texas,0.7033898305084746
baseline,texas,0.8135593220338984
baseline,texas,0.7457627118644068
baseline,texas,0.8050847457627118
baseline,texas,0.7966101694915254
baseline,wisconsin,0.6517412935323383
baseline,wisconsin,0.736318407960199
baseline,wisconsin,0.7263681592039801
baseline,wisconsin,0.6865671641791045
baseline,wisconsin,0.681592039800995
baseline,wisconsin,0.7064676616915423
baseline,wisconsin,0.8208955223880597
baseline,wisconsin,0.7562189054726368
baseline,wisconsin,0.6666666666666666
