dataset,method,test_acc
citeseer,baseline,0.6027624309392265
citeseer,baseline,0.6370165745856353
citeseer,baseline,0.6276243093922652
citeseer,baseline,0.6093922651933702
citeseer,baseline,0.6453038674033149
citeseer,baseline,0.6044198895027625
citeseer,baseline,0.638121546961326
citeseer,baseline,0.594475138121547
citeseer,baseline,0.6331491712707182
citeseer,baseline,0.6270718232044199
citeseer,baseline,0.605524861878453
pubmed,baseline,0.7009250268308888
pubmed,baseline,0.6756273317319977
pubmed,baseline,0.7113507435989166
pubmed,baseline,0.7059845658506669
pubmed,baseline,0.6985230234578628
pubmed,baseline,0.7047580109367814
pubmed,baseline,0.708182143404712
pubmed,baseline,0.7154903664332806
pubmed,baseline,0.6848264935861399
pubmed,baseline,0.7371595032452599
pubmed,baseline,0.6818112127561711
pubmed,baseline,0.7030714979301886
pubmed,baseline,0.6960699136300915
pubmed,baseline,0.6747074155465835
pubmed,baseline,0.7017938365615577
pubmed,baseline,0.631829100015332
pubmed,baseline,0.6626973986814535
pubmed,baseline,0.6592221597587775
pubmed,baseline,0.6862574743190065
pubmed,baseline,0.72192977973118
pubmed,baseline,0.6971942556344867
pubmed,baseline,0.7161547503449686
pubmed,baseline,0.7150815147953187
pubmed,baseline,0.6784381867429856
pubmed,baseline,0.6738386058159146
pubmed,baseline,0.7077221853120049
pubmed,baseline,0.7103286145040119
pubmed,baseline,0.6868196453212041
pubmed,baseline,0.6935145908928297
pubmed,baseline,0.7033270302039147
pubmed,baseline,0.6589666274850514
pubmed,baseline,0.6792558900189094
pubmed,baseline,0.6823222773036235
pubmed,baseline,0.6561046660193183
pubmed,baseline,0.6534982368273113
pubmed,baseline,0.7081310369499668
pubmed,baseline,0.7222875249143967
pubmed,baseline,0.7032759237491695
pubmed,baseline,0.7158481116164972
pubmed,baseline,0.6491541881739664
pubmed,baseline,0.6677569377012317
pubmed,baseline,0.7182501149895232
pubmed,baseline,0.6887105841467778
pubmed,baseline,0.6917258649767466
pubmed,baseline,0.6816067869371901
pubmed,baseline,0.727142638115194
pubmed,baseline,0.7280625543006082
pubmed,baseline,0.7102264015945214
pubmed,baseline,0.6792047835641641
pubmed,baseline,0.6837021515817447
pubmed,baseline,0.6441968620636787
pubmed,baseline,0.7128839372412735
pubmed,baseline,0.6919302907957275
pubmed,baseline,0.7085909950426739
pubmed,baseline,0.6804313384780498
pubmed,baseline,0.713650534062452
pubmed,baseline,0.6608064598558798
pubmed,baseline,0.6919302907957275
pubmed,baseline,0.715592579342771
pubmed,baseline,0.7139060663361783
pubmed,baseline,0.6847753871313947
pubmed,baseline,0.7069044820360811
pubmed,baseline,0.6927991005263965
pubmed,baseline,0.6645883375070272
pubmed,baseline,0.7037358818418766
pubmed,baseline,0.6949966780804415
pubmed,baseline,0.6869218582306945
pubmed,baseline,0.6833444063985281
pubmed,baseline,0.6903459906986252
pubmed,baseline,0.6945367199877345
pubmed,baseline,0.7109929984156999
pubmed,baseline,0.713190575969745
pubmed,baseline,0.6882506260540706
pubmed,baseline,0.7185567537179945
pubmed,baseline,0.6750140542750549
pubmed,baseline,0.6934634844380845
pubmed,baseline,0.714928195431083
pubmed,baseline,0.7127306178770378
pubmed,baseline,0.6809935094802474
pubmed,baseline,0.7065467368528645
pubmed,baseline,0.6195124444217305
pubmed,baseline,0.6917769714314917
pubmed,baseline,0.6886083712372872
pubmed,baseline,0.6769560995553738
pubmed,baseline,0.6906015229723514
pubmed,baseline,0.709715337047069
pubmed,baseline,0.7150304083405734
pubmed,baseline,0.6929013134358869
pubmed,baseline,0.7284202994838248
pubmed,baseline,0.7039403076608576
pubmed,baseline,0.7330198804108959
pubmed,baseline,0.7183012214442684
pubmed,baseline,0.6764961414626668
pubmed,baseline,0.6740941380896407
pubmed,baseline,0.661726376041294
pubmed,baseline,0.6970920427249961
pubmed,baseline,0.6432769458782645
pubmed,baseline,0.6631573567741605
pubmed,baseline,0.6713343895333981
pubmed,baseline,0.6888639035110135
cora_full,baseline,0.4055233504852472
cora_full,baseline,0.39536246987559437
cora_full,baseline,0.3947111313749756
cora_full,baseline,0.4017455871816583
cora_full,baseline,0.4079984367875985
